file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,178,css,fc150b8d,Rishvik,2026-05-02,23:04:03,-07:00,2026-05-02T23:04:03-07:00,0,41
style.css,179,css,123df006,Rishvik,2026-04-10,23:13:53,-07:00,2026-04-10T23:13:53-07:00,1,8
style.css,180,css,123df006,Rishvik,2026-04-10,23:13:53,-07:00,2026-04-10T23:13:53-07:00,1,15
style.css,181,css,123df006,Rishvik,2026-04-10,23:13:53,-07:00,2026-04-10T23:13:53-07:00,1,25
style.css,182,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,0,0
style.css,183,css,fef8bddb,Rishvik,2026-04-10,23:08:39,-07:00,2026-04-10T23:08:39-07:00,0,0
style.css,184,css,fc150b8d,Rishvik,2026-05-02,23:04:03,-07:00,2026-05-02T23:04:03-07:00,0,37
style.css,185,css,fc150b8d,Rishvik,2026-05-02,23:04:03,-07:00,2026-05-02T23:04:03-07:00,1,25
style.css,186,css,fc150b8d,Rishvik,2026-05-02,23:04:03,-07:00,2026-05-02T23:04:03-07:00,1,49
style.css,187,css,fc150b8d,Rishvik,2026-05-02,23:04:03,-07:00,2026-05-02T23:04:03-07:00,1,34
style.css,188,css,fc150b8d,Rishvik,2026-05-02,23:04:03,-07:00,2026-05-02T23:04:03-07:00,1,25
style.css,189,css,fc150b8d,Rishvik,2026-05-02,23:04:03,-07:00,2026-05-02T23:04:03-07:00,1,17
style.css,190,css,fc150b8d,Rishvik,2026-05-02,23:04:03,-07:00,2026-05-02T23:04:03-07:00,0,0
style.css,191,css,fc150b8d,Rishvik,2026-05-02,23:04:03,-07:00,2026-05-02T23:04:03-07:00,0,0
style.css,192,css,fc150b8d,Rishvik,2026-05-02,23:04:03,-07:00,2026-05-02T23:04:03-07:00,0,22
style.css,193,css,fc150b8d,Rishvik,2026-05-02,23:04:03,-07:00,2026-05-02T23:04:03-07:00,1,12
style.css,194,css,fc150b8d,Rishvik,2026-05-02,23:04:03,-07:00,2026-05-02T23:04:03-07:00,1,14
style.css,195,css,fc150b8d,Rishvik,2026-05-02,23:04:03,-07:00,2026-05-02T23:04:03-07:00,1,18
style.css,196,css,fc150b8d,Rishvik,2026-05-02,23:04:03,-07:00,2026-05-02T23:04:03-07:00,1,10
style.css,197,css,fc150b8d,Rishvik,2026-05-02,23:04:03,-07:00,2026-05-02T23:04:03-07:00,1,18
style.css,198,css,fc150b8d,Rishvik,2026-05-02,23:04:03,-07:00,2026-05-02T23:04:03-07:00,0,0
style.css,199,css,fc150b8d,Rishvik,2026-05-02,23:04:03,-07:00,2026-05-02T23:04:03-07:00,0,0
style.css,200,css,fc150b8d,Rishvik,2026-05-02,23:04:03,-07:00,2026-05-02T23:04:03-07:00,0,18
style.css,201,css,fc150b8d,Rishvik,2026-05-02,23:04:03,-07:00,2026-05-02T23:04:03-07:00,1,14
style.css,202,css,fc150b8d,Rishvik,2026-05-02,23:04:03,-07:00,2026-05-02T23:04:03-07:00,1,13
style.css,203,css,fc150b8d,Rishvik,2026-05-02,23:04:03,-07:00,2026-05-02T23:04:03-07:00,1,16
style.css,204,css,fc150b8d,Rishvik,2026-05-02,23:04:03,-07:00,2026-05-02T23:04:03-07:00,0,0
style.css,205,css,fc150b8d,Rishvik,2026-05-02,23:04:03,-07:00,2026-05-02T23:04:03-07:00,0,0
style.css,206,css,fc150b8d,Rishvik,2026-05-02,23:04:03,-07:00,2026-05-02T23:04:03-07:00,0,51
style.css,207,css,fc150b8d,Rishvik,2026-05-02,23:04:03,-07:00,2026-05-02T23:04:03-07:00,1,11
style.css,208,css,fc150b8d,Rishvik,2026-05-02,23:04:03,-07:00,2026-05-02T23:04:03-07:00,0,0
style.css,209,css,fc150b8d,Rishvik,2026-05-02,23:04:03,-07:00,2026-05-02T23:04:03-07:00,0,0
style.css,210,css,fc150b8d,Rishvik,2026-05-02,23:04:03,-07:00,2026-05-02T23:04:03-07:00,0,23
style.css,211,css,fc150b8d,Rishvik,2026-05-02,23:04:03,-07:00,2026-05-02T23:04:03-07:00,1,14
style.css,212,css,fc150b8d,Rishvik,2026-05-02,23:04:03,-07:00,2026-05-02T23:04:03-07:00,1,16
style.css,213,css,fc150b8d,Rishvik,2026-05-02,23:04:03,-07:00,2026-05-02T23:04:03-07:00,0,0
style.css,214,css,fc150b8d,Rishvik,2026-05-02,23:04:03,-07:00,2026-05-02T23:04:03-07:00,0,0
style.css,215,css,fc150b8d,Rishvik,2026-05-02,23:04:03,-07:00,2026-05-02T23:04:03-07:00,0,9
style.css,216,css,fc150b8d,Rishvik,2026-05-02,23:04:03,-07:00,2026-05-02T23:04:03-07:00,1,35
style.css,217,css,fc150b8d,Rishvik,2026-05-02,23:04:03,-07:00,2026-05-02T23:04:03-07:00,0,0
style.css,218,css,fc150b8d,Rishvik,2026-05-02,23:04:03,-07:00,2026-05-02T23:04:03-07:00,0,0
style.css,219,css,fc150b8d,Rishvik,2026-05-02,23:04:03,-07:00,2026-05-02T23:04:03-07:00,0,18
